title,link,date,author,description,next_page
North Korean Hackers Spotted Using New Multi-Platform Malware Framework,https://thehackernews.com/2020/07/lazarus-north-korean-hackers.html,"July 23, 2020",Ravie Lakshmanan,"Lazarus Group, the notorious hacking group with ties to the North Korean regime, has unleashed a new multi-platform malware framework with an aim to infiltrate corporate entities around the world, steal customer databases, and distribute ransomware.   Capable of targeting Windows, Linux, and macOS operating systems, the MATA malware framework — so-called because of the authors' reference to the infrastructure as ""MataNet"" — comes with a wide range of features designed to carry out a variety of malicious activities on infected machines.   The MATA campaign is said to have begun as early as April of 2018, with the victimology traced to unnamed companies in software development, e-commerce and internet service provider sectors situated in Poland, Germany, Turkey, Korea, Japan, and India, cybersecurity firm Kaspersky  said in its Wednesday analysis.   The report offers a comprehensive look at the MATA framework, while also building on previous evidence gathered by researche",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
US Charges 2 Chinese Hackers for Targeting COVID-19 Research and Trade Secrets,https://thehackernews.com/2020/07/chinese-hackers-covid19.html,"July 22, 2020",Ravie Lakshmanan,"The U.S. Department of Justice (DoJ) yesterday revealed charges against two Chinese nationals for their alleged involvement in a decade-long hacking spree targeting dissidents, government agencies, and hundreds of organizations in as many as 11 countries.   The 11-count indictment , which was unsealed on Tuesday, alleges LI Xiaoyu (李啸宇) and DONG Jiazhi (董家志) stole terabytes of sensitive data, including from companies developing COVID-19 vaccines, testing technology, and treatments while operating both for private financial gain and behalf of China's Ministry of State Security.   ""China has now taken its place, alongside Russia, Iran and North Korea, in that shameful club of nations that provide a safe haven for cyber criminals in exchange for those criminals being 'on call' to work for the benefit of the state, [and] to feed the Chinese Communist party's insatiable hunger for American and other non-Chinese companies' hard-earned intellectual property, includ",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
Chinese Hackers Escalate Attacks Against India and Hong Kong Amid Tensions,https://thehackernews.com/2020/07/chinese-hackers-hong-kong-india.html,"July 21, 2020",Ravie Lakshmanan,"An emerging threat actor out of China has been traced to a new hacking campaign aimed at government agencies in India and residents of Hong Kong intending to steal sensitive information, cybersecurity firm Malwarebytes  revealed in the latest report shared with The Hacker News.   The attacks were observed during the first week of July, coinciding the passage of controversial security law  in Hong Kong and India's ban of 59 China-made apps over privacy concerns, weeks after a violent skirmish  along the Indo-China border.   Attributing the attack with ""moderate confidence"" to a new Chinese APT group, Malwarebytes said they were able to track their activities based on the ""unique phishing attempts"" designed to compromise targets in India and Hong Kong.   The operators of the APT group have leveraged at least three different Tactics, Techniques, and Procedures (TTPs), using spear-phishing emails to drop variants of Cobalt Strike and MgBot malware, and bogus Andr",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
21-Year-Old Cypriot Hacker Extradited to U.S. Over Fraud and Extortion Charges,https://thehackernews.com/2020/07/cypriot-hacker-extradited.html,"July 20, 2020",Swati Khandelwal,"The United States Department of Justice has extradited two criminals from the Republic of Cyprus—one is a computer hacker suspected of cyber intrusions and extortion, and the other is a money launderer with known connections to the terrorist organization Hezbollah.   Both suspects— Joshua Polloso Epifaniou , 21, a resident of Nicosia, and Ghassan Diab , 37, a citizen of Lebanon—were arrested earlier last year and extradited to the United States last weekend.   According to the indictment , Epifaniou conducted a brute force attack against the Phoenix-based online review portal Ripoff Report (ROR) in October 2016 and successfully override ROR's login and password protection to gain access to its database through an existing account associated with a ROR employee.   In November 2016, Epifaniou tried to extort the company by emailing ROR's CEO with a hyperlink to a video demonstrating Epifaniou's unauthorized access to the ROR CEO's account, threatening him to publicly di",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
Iranian Hackers Accidentally Exposed Their Training Videos (40 GB) Online,https://thehackernews.com/2020/07/iranian-hacking-training-videos.html,"July 17, 2020",Ravie Lakshmanan,"An OPSEC error by an Iranian threat actor has laid bare the inner workings of the hacking group by providing a rare insight into the ""behind-the-scenes look into their methods.""   IBM's X-Force Incident Response Intelligence Services (IRIS) got hold of nearly five hours worth of video recordings of the state-sponsored group it calls  ITG18  (also called Charming Kitten , Phosphorous , or APT35 ) that it uses to train its operators.   Some of the victims in the videos included personal accounts of U.S. and Greek Navy personnel, in addition to unsuccessful phishing attempts directed against U.S. state department officials and an unnamed Iranian-American philanthropist.   ""Some of the videos showed the operator managing adversary-created accounts while others showed the operator testing access and exfiltrating data from previously compromised accounts,"" the researchers  said.   The IBM researchers said they found the videos on a virtual private cloud server that wa",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
Why Application Security Should Be Considered An Enabler For Business,https://thehackernews.com/2020/07/cybersecurity-for-businesses.html,"July 16, 2020",The Hacker News,"If you ask Alex, he won't admit being old-fashioned. He has been working in the IT industry for a while now and accepts that security is important for the business's health. But reluctant to take security as the business enabler.   In today's environment, moving to digitization is a critical step required to drive innovation and business growth. When the application development takes the driver seat, security stalls the progress by saying NO to many things on the highway. — Is what he says.   At that point, my friend Daniel got involved and argued that application security is no longer optional to our business as we rely on apps for our day-to-day activities.  And, he added a powerful quote:   ""Because we've brakes in our cars, we can drive fast"" - Robert Garigue  Businesses will less likely advance if they don't have security (brakes) to do safely. The car's speed obtains improvement with brakes – the improvements to business are the improvement to th",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
New Android Malware Now Steals Passwords For Non-Banking Apps Too,https://thehackernews.com/2020/07/android-password-hacker.html,"July 16, 2020",Ravie Lakshmanan,"Cybersecurity researchers today uncovered a new strain of banking malware that targets not only banking apps but also steals data and credentials from social networking, dating, and cryptocurrency apps—a total of 337 non-financial Android applications on its target list.   Dubbed "" BlackRock "" by ThreatFabric researchers, which discovered the trojan in May, its source code is derived from a leaked version of Xerxes banking malware, which itself is a strain of the LokiBot Android banking trojan  that was first observed during 2016-2017.   Chief among its features are stealing user credentials, intercepting SMS messages, hijacking notifications, and even recording keystrokes from the targeted apps, in addition to being capable of hiding from antivirus software.   ""Not only did the [BlackRock] Trojan undergo changes in its code, but also comes with an increased target list and has been ongoing for a longer period,"" ThreatFabric said.   ""It contains an important nu",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
A New Flaw In Zoom Could Have Let Fraudsters Mimic Organisations,https://thehackernews.com/2020/07/zoom-vanity-url-vulnerability.html,"July 16, 2020",Swati Khandelwal,"In a report shared with The Hacker News, researchers at cybersecurity firm CheckPoint today disclosed details of a minor but easy-to-exploit flaw they reported in Zoom, the highly popular and widely used video conferencing software.   The latest Zoom flaw could have allowed attackers mimic an organization, tricking its employees or business partners into revealing personal or other confidential information using social engineering tricks.   We know, social engineering attacks may sound a bit boring, but someone used the same to put Twitter on fire just last night when hundreds of high-profile Twitter accounts were hacked  to promote a cryptocurrency scam, all thanks to an employee's compromised internal tooling account.   The said vulnerability resides in Zoom's customizable URL feature dubbed Vanity URL, aiming to let companies create a custom URL on its subdomain and branded landing page, such as "" yourcompany.zoom.us, "" where the invitation link to a meeting then",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
Several High-Profile Accounts Hacked in the Biggest Twitter Hack of All Time,https://thehackernews.com/2020/07/verified-twitter-hacked.html,"July 15, 2020",Ravie Lakshmanan,"Social media platform Twitter, earlier today on Wednesday, was on fire after it suffered one of the biggest cyberattacks in its history .   A number of high-profile Twitter accounts, including those of US presidential candidate Joe Biden, Amazon CEO Jeff Bezos, Bill Gates, Elon Musk, Uber, and Apple, were breached simultaneously in what's a far-reaching hacking campaign carried out to promote a cryptocurrency scam.   The broadly targeted hack posted similar worded messages urging millions of followers to send money to a specific bitcoin wallet address in return for larger payback.   ""Everyone is asking me to give back, and now is the time,"" a tweet from Mr Gates' account said. ""You send $1,000, I send you back $2,000.""   Twitter termed the security incident as a ""coordinated social engineering attack"" against its employees who have access to its internal tools.   As of writing, the scammers behind the operation have amassed nearly $120,000 in bitco",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
4 Dangerous Brazilian Banking Trojans Now Trying to Rob Users Worldwide,https://thehackernews.com/2020/07/brazilian-banking-trojan.html,"July 15, 2020",Ravie Lakshmanan,"Cybersecurity researchers on Tuesday detailed as many as four different families of Brazilian banking trojans that have targeted financial institutions in Brazil, Latin America, and Europe.   Collectively called the ""Tetrade"" by Kaspersky researchers, the malware families — comprising Guildma, Javali, Melcoz, and Grandoreiro — have evolved their capabilities to function as a backdoor and adopt a variety of obfuscation techniques to hide its malicious activities from security software.   ""Guildma, Javali, Melcoz and Grandoreiro are examples of yet another Brazilian banking group/operation that has decided to expand its attacks abroad, targeting banks in other countries,"" Kaspersky said in an analysis .   ""They benefit from the fact that many banks operating in Brazil also have operations elsewhere in Latin America and Europe, making it easy to extend their attacks against customers of these financial institutions.""   A Multi-Stage Malware Deployment Process",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
17-Year-Old Critical 'Wormable' RCE Vulnerability Impacts Windows DNS Servers,https://thehackernews.com/2020/07/windows-dns-server-hacking.html,"July 14, 2020",Ravie Lakshmanan,"Cybersecurity researchers today disclosed a new highly critical ""wormable"" vulnerability—carrying a severity score of 10 out of 10 on the CVSS scale—affecting Windows Server versions 2003 to 2019.   The 17-year-old remote code execution flaw ( CVE-2020-1350 ), dubbed ' SigRed ' by Check Point, could allow an unauthenticated, remote attacker to gain domain administrator privileges over targeted servers and seize complete control of an organization's IT infrastructure.   A threat actor can exploit SigRed vulnerability by sending crafted malicious DNS queries to a Windows DNS server and achieve arbitrary code execution, enabling the hacker to intercept and manipulate users' emails and network traffic, make services unavailable, harvest users' credentials and much more.   In a detailed report  shared with The Hacker News, the Check Point researcher Sagi Tzadik  confirmed that the flaw is wormable in nature, allowing attackers to launch an attack that can sp",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
Adobe Issues July 2020 Critical Security Patches for Multiple Software,https://thehackernews.com/2020/07/adobe-security-patch-july.html,"July 14, 2020",Wang Wei,"Adobe today released software updates to patch a total of 13 new security vulnerabilities affecting 5 of its widely used applications.   Out of these 13 vulnerabilities, four have been rated critical, and nine are important in severity.   The affected products that received security patches today include:    Adobe Creative Cloud Desktop Application  Adobe Media Encoder  Adobe Genuine Service  Adobe ColdFusion  Adobe Download Manager    Adobe Creative Cloud Desktop Application versions 5.1 and earlier for Windows operating systems contain four vulnerabilities, one of which is a critical symlink issue (CVE-2020-9682) leading to arbitrary file system write attacks.   According to the advisory , the other three important flaws in this Adobe software are privilege escalation issues.   Adobe Media Encoder  contains two critical arbitrary code execution (CVE-2020-9650 and CVE-2020-9646) and one important information disclosure issues, affecting both Windows and macOS users running Media En",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
CompTIA Certification Prep Courses – Get Lifetime Access @ 98% Discount,https://thehackernews.com/2020/07/comptia-certifications-online-courses.html,"July 14, 2020",The Hacker News,"In the world of professional IT, recruiters look for certificates as an important criterion for eligibility and assessing skills. Any IT professional with résumé that includes CompTIA certificates tends to rise up the pile.   Of course, there are many different CompTIA exams you can choose from based on your interest and already chosen path.   Our educational and industry partners have introduced "" Complete 2020 CompTIA Certification Training Bundle ,"" aiming to help cybersecurity aspirants prepare for the big ones, with 14 courses covering A+, Security+, Network+, and more.   The original fees for all these certification preparation courses are worth nearly $3,486 when subscribed directly through the instructor's platform.   However, the great news is that The Hacker News has now partnered with these leading instructors to offer the same training bundle for only $89 to its readers with lifetime access.   Special Offer —  For a limited time, this bundle's one-time",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
New Highly-Critical SAP Bug Could Let Attackers Take Over Corporate Servers,https://thehackernews.com/2020/07/sap-netweaver-vulnerability.html,"July 14, 2020",Ravie Lakshmanan,"SAP has patched a critical vulnerability  impacting the LM Configuration Wizard component in NetWeaver Application Server (AS) Java platform, allowing an unauthenticated attacker to take control of SAP applications.   The bug, dubbed RECON and tracked as CVE-2020-6287 , is rated with a maximum CVSS score of 10 out of 10, potentially affecting over 40,000 SAP customers, according to cybersecurity firm Onapsis, which uncovered the flaw .   ""If successfully exploited, a remote, unauthenticated attacker can obtain unrestricted access to SAP systems through the creation of high-privileged users and the execution of arbitrary operating system commands with the privileges of the SAP service user account, which has unrestricted access to the SAP database and is able to perform application maintenance activities, such as shutting down federated SAP applications,"" the US Cybersecurity and Infrastructure Security Agency (CISA) said in an advisory .   ""The confidentiality, integr",https://thehackernews.com/search?updated-max=2020-07-14T00:17:00-07:00&max-results=8&start=16&by-date=false
Exclusive: Any Chingari App (Indian TikTok Clone) Account Can Be Hacked Easily,https://thehackernews.com/2020/07/hack-chingari-app-account.html,"July 11, 2020",Ravie Lakshmanan,"Following vulnerability disclosure in the Mitron app , another viral TikTok clone in India has now been found vulnerable to a critical but easy-to-exploit authentication bypass vulnerability, allowing anyone to hijack any user account and tamper with their information, content, and even upload unauthorized videos.   The Indian video sharing app, called Chingari, is available for Android and iOS smartphones through official app stores, designed to let users record short-form videos, catch up on the news, and connect with other users via a direct message feature.   Originally launched in November 2018, Chingari has witnessed a huge surge in popularity over the past few days in the wake of India's ban on Chinese-owned apps late last month, crossing 10 million downloads  on the Google Play Store in under a month.   The Indian government recently banned 59 apps and services , including ByteDance's TikTok, Alibaba Group's UC Browser and UC News, and Tencent's WeChat over priv",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Unpatched Critical Flaw Disclosed in Zoom Software for Windows 7 or Earlier,https://thehackernews.com/2020/07/zoom-windows-security.html,"July 10, 2020",Swati Khandelwal,"A zero-day vulnerability has been discovered in Zoom video conferencing software for Windows that could allow an attacker to execute arbitrary code on a victim's computer running Microsoft Windows 7 or older.   To successfully exploit the zoom vulnerability, all an attacker needs to do is tricking a Zoom user into performing some typical action like opening a received document file. No security warning is triggered or shown to the user at the time of the attack.   The vulnerability has been discovered by a researcher who reported it to Acros Security, who then reported the flaw to the Zoom security team earlier today. The researcher wishes to remain anonymous.   Although the flaw is present in all supported versions of the Zoom client for Windows, it is only exploitable on systems running Windows 7 and older Windows systems due to some specific system characteristics.   ""This vulnerability is only exploitable on Windows 7 and earlier Windows versions. It is likely also explo",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Joker Malware Apps Once Again Bypass Google's Security to Spread via Play Store,https://thehackernews.com/2020/07/joker-android-mobile-virus.html,"July 09, 2020",Ravie Lakshmanan,"Cybersecurity researchers took the wraps off yet another instance of Android malware hidden under the guise of legitimate applications to stealthily subscribe unsuspecting users for premium services without their knowledge.   In a report published by Check Point research today, the malware — infamously called Joker (or Bread) — has found another trick to bypass Google's Play Store protections: obfuscate the malicious DEX executable inside the application as Base64 encoded strings, which are then decoded and loaded on the compromised device.   Following responsible disclosure by Check Point researchers, the 11 apps ( list and hashes here ) in question were removed by Google from the Play Store on April 30, 2020.   ""The Joker malware is tricky to detect, despite Google's investment in adding Play Store protections,"" said Check Point 's Aviran Hazum, who identified the new modus operandi of Joker malware. ""Although Google removed the malicious apps from the P",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
The Incident Response Challenge 2020 — Results and Solutions Announced,https://thehackernews.com/2020/07/cynet-cybersecurity-challenge.html,"July 08, 2020",The Hacker News,"In April 2020, Cynet launched the world's first Incident Response Challenge  to test and reward the skills of Incident Response professionals.   The Challenge consisted of 25 incidents, in increasing difficulty, all inspired by real-life scenarios that required participants to go beyond the textbook solution and think outside of the box.  Over 2,500 IR professionals competed to be recognized as the top incident responders.   Now that the competition is over (however, the challenge website  is still open for anyone who wants to practice solving the challenges), Cynet makes the detailed solutions  available as a free resource for knowledge and inspiration.   Providing the thought process and detailed steps to solve each of the challenges will serve as a training aid and knowledge base for incident responders.    The Fine Art of Forensic Investigation   The core of any IR processes is the forensic investigation. It uncovers the critical path from the initial stage of suspicion or l",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Citrix Issues Critical Patches for 11 New Flaws Affecting Multiple Products,https://thehackernews.com/2020/07/citrix-software-security-update.html,"July 08, 2020",Ravie Lakshmanan,"Citrix yesterday issued new security patches for as many as 11 security flaws  that affect its Citrix Application Delivery Controller (ADC), Gateway, and SD-WAN WAN Optimization edition (WANOP) networking products.   Successful exploitation of these critical flaws could let unauthenticated attackers perform code injection, information disclosure, and even denial-of-service attacks against the gateway or the authentication virtual servers .   Citrix confirmed that the aforementioned issues do not impact other virtual servers, such as load balancing and content switching virtual servers.   Among the affected Citrix SD-WAN WANOP appliances include models 4000-WO, 4100-WO, 5000-WO, and 5100-WO.   The networking vendor also reiterated that these vulnerabilities were not connected to a previously fixed zero-day NetScaler flaw  (tagged as CVE-2019-19781 ) that allowed bad actors to perform arbitrary code execution  even without proper authentication.   It also said there's no evidence",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
Microsoft Launches Free Linux Forensics and Rootkit Malware Detection Service,https://thehackernews.com/2020/07/microsoft-linux-forensics-rootkit.html,"July 07, 2020",Ravie Lakshmanan,"Microsoft has announced a new free-to-use initiative aimed at uncovering forensic evidence of sabotage on Linux systems, including rootkits and intrusive malware that may otherwise go undetected.   The cloud offering, dubbed Project Freta , is a snapshot-based memory forensic mechanism that aims to provide automated full-system volatile memory inspection of virtual machine (VM) snapshots, with capabilities to spot malicious software, kernel rootkits , and other stealthy malware techniques such as process hiding .   The project is named after Warsaw's Freta Street , the birthplace of Marie Curie, the famous French-Polish physicist who brought X-ray medical imaging  to the battlefield during World War I.   ""Modern malware is complex, sophisticated, and designed with non-discoverability as a core tenet,"" said Mike Walker, Microsoft's senior director of New Security Ventures. ""Project Freta intends to automate and democratize VM forensics to a point where every us",https://thehackernews.com/search?updated-max=2020-07-04T07:20:00-07:00&max-results=8&start=24&by-date=false
